team_code,team_country,team_founded,id,logo_url,name,team_national,venue_address,venue_capacity,venue_city,venue_id,venue_image,venue_name,venue_surface
BRA,Norway,1908,319,https://media.api-sports.io/football/teams/319.png,Brann,False,Kniksens plass 1,17686,Bergen,1176,https://media.api-sports.io/football/venues/1176.png,Brann Stadion,grass
KRI,Norway,2003,320,https://media.api-sports.io/football/teams/320.png,Kristiansund BK,False,Magnar Isaksens vei 1,4444,Kristiansund,19680,https://media.api-sports.io/football/venues/19680.png,Nordmøre stadion,artificial turf
LIL,Norway,1917,321,https://media.api-sports.io/football/teams/321.png,Lillestrom,False,C.J. Hansensvej 3b,11637,Kjeller,1182,https://media.api-sports.io/football/venues/1182.png,Åråsen Stadion,grass
RAN,Norway,1901,322,https://media.api-sports.io/football/teams/322.png,Ranheim,False,Ranheimsveien 166,3000,Ranheim,1188,https://media.api-sports.io/football/venues/1188.png,EXTRA Arena,artificial turf
STA,Norway,1912,323,https://media.api-sports.io/football/teams/323.png,Stabaek,False,"Gamle Ringeriksvei 59, Nadderud, Stabekk",7000,Bærum,1196,https://media.api-sports.io/football/venues/1196.png,Nadderud Stadion,grass
STR,Norway,1907,324,https://media.api-sports.io/football/teams/324.png,Stromsgodset,False,Schwartzgata 2,8935,Drammen,1199,https://media.api-sports.io/football/venues/1199.png,Marienlyst Stadion,artificial turf
TRO,Norway,1920,325,https://media.api-sports.io/football/teams/325.png,Tromso,False,Stadionveien 3,8585,Tromsø,19681,https://media.api-sports.io/football/venues/19681.png,Romssa Arena,artificial turf
VAL,Norway,1913,326,https://media.api-sports.io/football/teams/326.png,Valerenga,False,Innspurten 1,18000,Oslo,1203,https://media.api-sports.io/football/venues/1203.png,Intility Arena,artificial turf
BOD,Norway,1916,327,https://media.api-sports.io/football/teams/327.png,Bodo/Glimt,False,Håloglandsgata 30,8270,Bodø,1175,https://media.api-sports.io/football/venues/1175.png,Aspmyra Stadion,artificial turf
HAU,Norway,1993,328,https://media.api-sports.io/football/teams/328.png,Haugesund,False,Karmsundggaten 169,8950,Haugesund,12130,https://media.api-sports.io/football/venues/12130.png,Haugesund Sparebank Arena,grass
MOL,Norway,1911,329,https://media.api-sports.io/football/teams/329.png,Molde,False,"Julsundveien 14, Reknes",11800,Molde,1184,https://media.api-sports.io/football/venues/1184.png,Aker Stadion,artificial turf
ODD,Norway,1894,330,https://media.api-sports.io/football/teams/330.png,ODD Ballklubb,False,"Fridtjof Nansensgatan 21-23, Falkum",13500,Skien,1187,https://media.api-sports.io/football/venues/1187.png,Skagerak Arena,artificial turf
ROS,Norway,1917,331,https://media.api-sports.io/football/teams/331.png,Rosenborg,False,Klæbuveien 125,21850,Trondheim,1190,https://media.api-sports.io/football/venues/1190.png,Lerkendal Stadion,grass
SAN,Norway,1998,332,https://media.api-sports.io/football/teams/332.png,Sandefjord,False,Nygårdsveien 84,6598,Sandefjord,20418,https://media.api-sports.io/football/venues/20418.png,Jotun Arena,grass
SAR,Norway,1928,333,https://media.api-sports.io/football/teams/333.png,Sarpsborg 08 FF,False,Haftor Jonssons gate 19,8022,Sarpsborg,1193,https://media.api-sports.io/football/venues/1193.png,Sarpsborg Stadion,artificial turf
STA,Norway,1905,334,https://media.api-sports.io/football/teams/334.png,Start,False,Stadionveien 21,14563,Kristiansand,1197,https://media.api-sports.io/football/venues/1197.png,Sparebanken Sør Arena,artificial turf
AAL,Norway,1914,757,https://media.api-sports.io/football/teams/757.png,Aalesund,False,Sjømannsveien 14,10778,Ålesund,1174,https://media.api-sports.io/football/venues/1174.png,Color Line Stadion,artificial turf
SOG,Norway,1926,758,https://media.api-sports.io/football/teams/758.png,Sogndal,False,Trolladalen 26,5623,Sogndal,1195,https://media.api-sports.io/football/venues/1195.png,Fosshaugane Campus,artificial turf
VIK,Norway,1899,759,https://media.api-sports.io/football/teams/759.png,Viking,False,"Gamle Jåttåvågen 3, Jåttåvågen",16508,Stavanger,1204,https://media.api-sports.io/football/venues/1204.png,SR-Bank Arena,artificial turf
NOR,Norway,1902,1090,https://media.api-sports.io/football/teams/1090.png,Norway,True,Sognsveien 75,27182,Oslo,11603,https://media.api-sports.io/football/venues/11603.png,Ullevaal Stadion,grass
,Norway,1902,1724,https://media.api-sports.io/football/teams/1724.png,Norway W,True,,,,,,,
BRY,Norway,1926,2142,https://media.api-sports.io/football/teams/2142.png,Bryne,False,Trallfavegen 3,10133,Bryne,2793,https://media.api-sports.io/football/venues/2793.png,Bryne Stadion,grass
KFU,Norway,1939,2143,https://media.api-sports.io/football/teams/2143.png,KFUM Oslo,False,Ekebergveien 101,3300,Oslo,1179,https://media.api-sports.io/football/venues/1179.png,KFUM Arena,artificial turf
ANA,Norway,1892,2144,https://media.api-sports.io/football/teams/2144.png,Kongsvinger,False,Brugata 47 B,5684,Kongsvinger,1180,https://media.api-sports.io/football/venues/1180.png,Gjemselund Stadion,artificial turf
LEV,Norway,1996,2145,https://media.api-sports.io/football/teams/2145.png,Levanger,False,Saltkjelen 3,6000,Levanger,1952,https://media.api-sports.io/football/venues/1952.png,TOBB ARENA Levanger,artificial turf
SAN,Norway,1911,2146,https://media.api-sports.io/football/teams/2146.png,Sandnes ULF,False,Jønningsheiveien 40,6046,Sandnes,12682,https://media.api-sports.io/football/venues/12682.png,Øster Hus Arena,artificial turf
STR,Norway,1911,2147,https://media.api-sports.io/football/teams/2147.png,Strommen,False,Strømsveien 16B,1850,Strømmen,1198,https://media.api-sports.io/football/venues/1198.png,Strømmen Stadion,artificial turf
ASA,Norway,1971,2148,https://media.api-sports.io/football/teams/2148.png,Asane,False,"Myrdalsvegen 155, Nyborg",3507,Bergen,12683,https://media.api-sports.io/football/venues/12683.png,Åsane Arena,artificial turf
FRE,Norway,1903,2149,https://media.api-sports.io/football/teams/2149.png,Fredrikstad,False,"K. G. Meldahls vei 9, Kråkerøy",12565,Fredrikstad,2792,https://media.api-sports.io/football/venues/2792.png,Nye Fredrikstad Stadion,artificial turf
HOD,Norway,1919,2150,https://media.api-sports.io/football/teams/2150.png,hodd,False,Høddvollveien 10,4081,Ulsteinvik,2794,https://media.api-sports.io/football/venues/2794.png,Nye Høddvoll Stadion,artificial turf
JER,Norway,1921,2151,https://media.api-sports.io/football/teams/2151.png,jerv,False,Levermyrveien 30,3766,Grimstad,1751,https://media.api-sports.io/football/venues/1751.png,J.J. Ugland Stadion,grass
MJO,Norway,1910,2152,https://media.api-sports.io/football/teams/2152.png,Mjondalen,False,"Hagatjernsveien 17, Nedre Eiker",4350,Mjøndalen,1183,https://media.api-sports.io/football/venues/1183.png,Consto Arena,artificial turf
RAU,Norway,1918,2153,https://media.api-sports.io/football/teams/2153.png,Raufoss,False,Stadionløkka 4,3042,Raufoss,1189,https://media.api-sports.io/football/venues/1189.png,NAMMO stadion,artificial turf
ULL,Norway,1894,2154,https://media.api-sports.io/football/teams/2154.png,Ull/Kisa,False,Markavegen 7,3435,Jessheim,1202,https://media.api-sports.io/football/venues/1202.png,Jessheim Stadion,artificial turf
ARE,Norway,2010,2155,https://media.api-sports.io/football/teams/2155.png,Arendal,False,Bjønnesveien,5000,Arendal,2790,https://media.api-sports.io/football/venues/2790.png,Norac Stadion,artificial turf
ELV,Norway,1907,2156,https://media.api-sports.io/football/teams/2156.png,Elverum,False,Olav Schulstads veg 25,2000,Elverum,2791,https://media.api-sports.io/football/venues/2791.png,Elverum Stadion,artificial turf
FLO,Norway,1912,2157,https://media.api-sports.io/football/teams/2157.png,Floro,False,Havrenesvegen,2800,Florø,1953,https://media.api-sports.io/football/venues/1953.png,Florø stadion,grass
TRO,Norway,1938,2158,https://media.api-sports.io/football/teams/2158.png,Tromsdalen Uil,False,"Elvestrandvej 29, Tromsdalen",2192,Tromsø,1200,https://media.api-sports.io/football/venues/1200.png,TUIL Arena,artificial turf
HAM,Norway,1918,2159,https://media.api-sports.io/football/teams/2159.png,Ham-Kam,False,"Arenavegen 2, Briskebyen",8068,Hamar,1177,https://media.api-sports.io/football/venues/1177.png,Briskeby Arena,artificial turf
NES,Norway,1968,2160,https://media.api-sports.io/football/teams/2160.png,Nest-Sotra,False,,2000,Ågotnes,1185,https://media.api-sports.io/football/venues/1185.png,Ågotnes Stadion,grass
NOT,Norway,1999,2161,https://media.api-sports.io/football/teams/2161.png,Notodden,False,Tinnesgata / O. H. Holtas Gate 2,5330,Notodden,1186,https://media.api-sports.io/football/venues/1186.png,Optime Arena,artificial turf
SKE,Norway,1915,2239,https://media.api-sports.io/football/teams/2239.png,Skeid,False,Kjelsåsveien 9,2623,Oslo,1194,https://media.api-sports.io/football/venues/1194.png,Nordre Åsen kunstgress,artificial turf
ALT,Norway,1946,6965,https://media.api-sports.io/football/teams/6965.png,Alta,False,Skoleveien 6,1500,Alta,11953,https://media.api-sports.io/football/venues/11953.png,SmartDok Arena,artificial turf
ARN,Norway,,6966,https://media.api-sports.io/football/teams/6966.png,Arna-Bjørnar,False,Indre Arnavegen 189,1100,Indre Arna,5084,https://media.api-sports.io/football/venues/5084.png,Arna Idrettspark,grass
ASK,Norway,1889,6967,https://media.api-sports.io/football/teams/6967.png,Asker,False,"Drammensveien, Føyka",2500,Asker,5085,https://media.api-sports.io/football/venues/5085.png,Føyka Kunstgress,artificial turf
,Norway,1988,6968,https://media.api-sports.io/football/teams/6968.png,Bergen Nord,False,,800,Salhus,5086,https://media.api-sports.io/football/venues/5086.png,Salhus kunstgress,artificial turf
,Norway,1944,6969,https://media.api-sports.io/football/teams/6969.png,Bergsøy,False,,3000,Fosnavåg,5087,https://media.api-sports.io/football/venues/5087.png,Bergsøy KGB Fosnavåg,grass
,Norway,1940,6970,https://media.api-sports.io/football/teams/6970.png,Brattvåg,False,Dalevegen 54,2083,Brattvåg,5088,https://media.api-sports.io/football/venues/5088.png,Brattvåg kunstgress,artificial turf
,Norway,1913,6971,https://media.api-sports.io/football/teams/6971.png,Brodd,False,Midjordgata 36,1000,Stavanger,5089,https://media.api-sports.io/football/venues/5089.png,Midjord kunstgras,artificial turf
BRU,Norway,1895,6972,https://media.api-sports.io/football/teams/6972.png,Brumunddal,False,Sveumvegen 2,1000,Brumunddal,19953,https://media.api-sports.io/football/venues/19953.png,OBOS-bana,artificial turf
BYA,Norway,1921,6973,https://media.api-sports.io/football/teams/6973.png,Byåsen,False,"Dalgårdvegen 12, Dalgård",1800,Trondheim,5091,https://media.api-sports.io/football/venues/5091.png,Byåsen Arena,artificial turf
BAE,Norway,1910,6974,https://media.api-sports.io/football/teams/6974.png,Bærum,False,Kadettangen 14,2000,Sandvika,19404,https://media.api-sports.io/football/venues/19404.png,AJ Arena,artificial turf
,Norway,1909,6975,https://media.api-sports.io/football/teams/6975.png,Donn,False,Østre Ringvei 2,16600,Kristiansand,5093,https://media.api-sports.io/football/venues/5093.png,Kristiansand Stadion,grass
EGE,Norway,1919,6976,https://media.api-sports.io/football/teams/6976.png,Egersund,False,Kjeld Bugges gate,1924,Egersund,5094,https://media.api-sports.io/football/venues/5094.png,Egersund Idrettsparken,grass
,Norway,,6977,https://media.api-sports.io/football/teams/6977.png,Eide,False,,,,,,,
EID,Norway,1910,6978,https://media.api-sports.io/football/teams/6978.png,Eidsvold,False,"Myhrervegen, Hammerstad",3000,Eidsvoll,5095,https://media.api-sports.io/football/venues/5095.png,Myhrer Stadion,artificial turf
,Norway,,6979,https://media.api-sports.io/football/teams/6979.png,Faaberg,False,Jørstadmovegen 690,1000,Fåberg,5096,https://media.api-sports.io/football/venues/5096.png,Jorekstad Kunstgress,artificial turf
FAN,Norway,1920,6980,https://media.api-sports.io/football/teams/6980.png,Fana,False,"Allestadveien 12, Fyllingsdalen",3800,Bergen,5105,https://media.api-sports.io/football/venues/5105.png,Varden Amfi,artificial turf
,Norway,,6981,https://media.api-sports.io/football/teams/6981.png,Fjøra,False,Trolladalen 26,5623,Sogndal,1195,https://media.api-sports.io/football/venues/1195.png,Fosshaugane Campus,artificial turf
FLO,Norway,1950,6982,https://media.api-sports.io/football/teams/6982.png,Flekkerøy,False,"Lindebøskauen 104, Flekkerøy",2500,Kristiansand,18639,https://media.api-sports.io/football/venues/18639.png,Cemo Arena Flekkerøy,artificial turf
,Norway,1917,6983,https://media.api-sports.io/football/teams/6983.png,Flint,False,Flintveien 7,1000,Tolvsrød,5099,https://media.api-sports.io/football/venues/5099.png,Flint ESSO Arena D KG,artificial turf
,Norway,,6984,https://media.api-sports.io/football/teams/6984.png,Fløya,False,Dramsveien 206,3000,Tromsø,5100,https://media.api-sports.io/football/venues/5100.png,Fløyabanen,artificial turf
FOL,Norway,2000,6985,https://media.api-sports.io/football/teams/6985.png,Follo,False,Idrettsveien 35b,4508,Ski,5101,https://media.api-sports.io/football/venues/5101.png,Ski stadion,grass
,Norway,1894,6986,https://media.api-sports.io/football/teams/6986.png,Fram,False,Hoffs gate,5000,Larvik,5102,https://media.api-sports.io/football/venues/5102.png,Framparken,grass
FRI,Norway,1904,6987,https://media.api-sports.io/football/teams/6987.png,Frigg,False,Apalveien 8,1000,Oslo,18565,https://media.api-sports.io/football/venues/18565.png,Tørteberg kunstgress 2,artificial turf
,Norway,1928,6988,https://media.api-sports.io/football/teams/6988.png,Frøya,False,Nabeita,1000,Hamarvik,12744,https://media.api-sports.io/football/venues/12744.png,Frøya idrettspark kunstgress,artificial turf
,Norway,1931,6989,https://media.api-sports.io/football/teams/6989.png,Frøyland,False,"Kvernelandsvegen 2, Frøyland",2000,Kvernaland,5104,https://media.api-sports.io/football/venues/5104.png,Frøyland stadion,grass
FYL,Norway,2011,6990,https://media.api-sports.io/football/teams/6990.png,Fyllingsdalen,False,"Allestadveien 12, Fyllingsdalen",3800,Bergen,5105,https://media.api-sports.io/football/venues/5105.png,Varden Amfi,artificial turf
,Norway,,6991,https://media.api-sports.io/football/teams/6991.png,Gjelleråsen,False,Birkelundveien 68,1000,Hagan,5106,https://media.api-sports.io/football/venues/5106.png,Li kunstgress,artificial turf
